,id,0,1,y,starter,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,supporting_cast,breakout_age,konami,games_played_rate
0,Lamar Jackson,0.12147981,0.8785202,0,1,24.4,423.0,308.25983333333335,341.7795,20.328433333333333,0.6666666666666666,1.32,1.224197696,18.7,6.333333333333333,0.9583333333333334
1,Josh Allen,0.13473332,0.8652667,1,1,25.0,406.0608,305.22026666666665,406.0608,20.59293333333333,0.3333333333333333,1.07,1.445879699,20.3,8.333333333333334,0.9166666666666666
2,Patrick Mahomes,0.13975358,0.8602464,1,1,25.7,427.2,277.2,380.4,24.25333333333333,0.5,1.1,2.0464431335,19.0,1.5,0.71875
3,Kyler Murray,0.15124166,0.84875834,1,1,23.8,390.7408,340.9704,390.7408,21.31065,0.5,1.01,1.4801270685,21.1,7.5,1.0
4,Justin Herbert,0.22641093,0.7735891,1,1,23.2,342.84,342.84,342.84,22.856,1.0,1.06,0.991006957,18.5,5.0,0.9375
5,Aaron Rodgers,0.2723633,0.7276367,1,1,37.5,388.2592,307.0941714285714,388.2592,20.288733333333337,0.7142857142857143,1.24,1.6622981627,19.8,1.8571428571428572,0.9196428571428571
6,Kirk Cousins,0.32033575,0.67966425,1,1,32.8,319.2,265.1142857142857,319.2,18.150000000000002,0.42857142857142855,4.07,1.9178094606,21.0,2.2857142857142856,0.9017857142857143
7,Matthew Stafford,0.33971572,0.6602843,1,1,33.3,302.4,256.48,270.56,17.403333333333332,0.14285714285714285,1.01,1.7690925175,19.6,0.7142857142857143,0.9285714285714286
8,Tom Brady,0.36579776,0.63420224,1,1,43.8,352.0,301.01714285714286,349.92,18.99,0.2857142857142857,6.33,2.4057073065,21.1,1.5714285714285714,0.9642857142857143
9,Dak Prescott,0.3742628,0.6257372,1,1,27.8,347.2,268.24799999999993,139.64,22.575999999999997,0.2,4.37,2.507766003,20.1,4.8,0.8625
10,Joe Burrow,0.4048121,0.5951879,1,1,24.5,178.72,178.72,178.72,17.872,0.0,1.01,2.1947954605,21.7,3.0,0.625
11,Ryan Tannehill,0.6069772,0.39302275,0,1,32.9,351.36,247.74333333333334,351.36,18.153333333333332,0.16666666666666666,1.08,1.524541851,22.1,2.3333333333333335,0.875
12,Russell Wilson,0.64612156,0.35387844,0,1,32.5,372.7808,330.9686857142857,372.7808,20.9996,0.8571428571428571,3.12,2.078225889,19.8,2.2857142857142856,1.0
13,Ryan Fitzpatrick,0.85019714,0.14980285,0,1,38.5,300.8,186.93427142857144,161.7399,18.9237,0.14285714285714285,7.36,1.9714755535,20.8,1.7142857142857142,0.7142857142857143
14,Ben Roethlisberger,0.85148555,0.14851445,0,1,39.3,348.8,243.20278571428568,277.2195,15.727100000000002,0.2857142857142857,1.11,2.2592822125,19.5,0.5714285714285714,0.8035714285714286
15,Matt Ryan,0.8524319,0.14756812,0,1,36.1,356.8,294.80571428571426,293.44,19.74666666666667,0.2857142857142857,1.03,1.5111887315,20.3,0.8571428571428571,0.9910714285714286
16,Cam Newton,0.9119772,0.08802282,0,0,32.1,398.4,259.2542142857143,270.9795,15.888433333333333,0.2857142857142857,1.01,1.3265843827,21.3,6.0,0.8214285714285714
17,Baker Mayfield,0.9152059,0.0847941,0,1,26.1,256.6208,251.74026666666668,256.6208,16.4796,0.0,1.01,1.7228043352,18.4,1.3333333333333333,0.9583333333333334
18,Andy Dalton,0.93994313,0.06005689,0,1,33.6,268.8,218.01424285714285,144.8997,15.490899999999998,0.0,2.03,1.7541239175,20.9,2.142857142857143,0.8571428571428571
19,Blaine Gabbert,0.9602231,0.039776918,0,0,31.6,136.8,56.50333333333333,15.32,4.215,0.0,1.1,2.4057073065,19.9,0.5,0.3333333333333333
20,Carson Wentz,0.9630217,0.0369783,0,1,28.4,280.8,238.59992000000003,213.3996,17.727766666666668,0.0,1.02,1.33364433,21.7,1.6,0.85
21,Derek Carr,0.9654235,0.034576498,0,1,30.2,284.8,246.35999999999999,281.12,15.790000000000001,0.0,2.04,1.6504355478,20.4,0.8571428571428571,0.9821428571428571
22,Brandon Allen,0.9683026,0.03169738,0,0,28.7,53.7,44.1,53.7,11.120000000000001,0.0,6.26,2.1947954605,21.0,0.0,0.25
23,Jared Goff,0.97441137,0.025588632,0,1,26.6,318.4,231.61589999999995,252.9795,17.7551,0.2,1.01,1.0059663875,18.9,2.0,0.8625
24,Mason Rudolph,0.9749442,0.025055813,0,0,25.9,118.0,68.68,19.36,7.836,0.0,3.12,2.2592822125,20.1,0.0,0.46875
25,Cooper Rush,0.9766613,0.02333869,0,0,27.5,1.4,1.4,,,0.0,,2.507766003,20.8,0.0,0.125
26,Geno Smith,0.97877043,0.02122958,0,0,30.7,163.8,33.82,1.12,0.36000000000000004,0.0,2.07,2.078225889,19.9,0.16666666666666666,0.25
27,Mac Jones,0.9794636,0.020536425,0,1,22.7,,,,,,1.15,0.550384163,22.0,,
28,Chad Henne,0.9797819,0.020218102,0,0,35.9,162.0,36.30335,23.7201,4.70335,0.0,2.26,2.0464431335,20.2,0.16666666666666666,0.2604166666666667
29,Garrett Gilbert,0.9801566,0.019843416,0,0,29.9,15.52,5.54,15.52,5.673333333333333,0.0,6.38,1.9714755535,22.1,0.0,0.14583333333333334
30,Sam Darnold,0.98055077,0.019449258,0,1,24.0,196.3,174.87333333333333,145.02,13.761666666666665,0.0,1.03,1.3265843827,19.3,1.6666666666666667,0.7916666666666666
31,Tua Tagovailoa,0.981253,0.018747,0,1,23.3,140.46,140.46,140.46,14.046,0.0,1.05,0.9092896725,20.5,3.0,0.625
32,Gardner Minshew,0.98178685,0.018213168,0,0,25.0,229.6,197.63015000000001,165.6603,17.40335,0.0,6.05,0.651670957,21.3,0.5,0.71875
33,Justin Fields,0.98190886,0.018091138,0,0,22.2,,,,,,1.11,1.7541239175,20.5,,
34,Daniel Jones,0.98233956,0.017660454,0,1,24.0,223.6,206.81029999999998,190.0206,15.38645,0.0,1.06,0.9265730775,19.3,1.5,0.84375
35,Zach Wilson,0.98247176,0.017528253,0,1,21.8,,,,,,1.02,0.9897441269,19.1,,
36,Trevor Lawrence,0.98247176,0.017528253,0,1,21.7,,,,,,1.01,1.0102718325,19.9,,
37,Marcus Mariota,0.98303205,0.016967954,0,0,27.6,268.5,167.35666666666665,26.84,17.44666666666667,0.0,1.02,1.6504355478,18.9,2.0,0.6666666666666666
38,Teddy Bridgewater,0.9832054,0.016794644,0,1,28.6,252.2205,124.53674999999998,252.2205,9.738233333333334,0.0,1.32,1.2665030085,18.8,1.5,0.6041666666666666
39,John Wolford,0.9832704,0.016729597,0,0,25.6,13.84,13.84,13.84,13.84,0.0,,1.7690925175,20.9,0.0,0.0625
40,Jordan Love,0.9835273,0.016472686,0,0,22.6,,,,,,1.26,1.6622981627,19.8,,
41,Kellen Mond,0.9835273,0.016472686,0,0,21.9,,,,,,3.02,1.9178094606,19.2,,
42,Jalen Hurts,0.98475474,0.01524525,1,1,22.8,113.4405,113.4405,113.4405,7.5627,0.0,2.21,0.651670957,18.1,3.0,0.9375
43,Case Keenum,0.98705566,0.012944364,0,0,33.3,243.0,110.67714285714285,1.84,8.706666666666669,0.0,,1.7228043352,19.6,0.7142857142857143,0.5357142857142857
44,Nick Foles,0.98705566,0.012944364,0,0,32.4,129.6,75.22565714285714,112.1796,12.5548,0.0,3.25,1.7541239175,20.6,0.2857142857142857,0.4107142857142857
45,Kyle Allen,0.9872783,0.012721726,0,0,25.2,193.7,88.76666666666665,46.0,13.233333333333334,0.0,,1.9714755535,18.5,1.3333333333333333,0.3958333333333333
46,Kurt Benkert,0.9873546,0.012645424,0,0,25.9,,,,,,,1.6622981627,21.1,,
47,Tyrod Taylor,0.9877233,0.012276716,0,1,31.799999999999997,274.4,118.88857142857141,9.02,5.636666666666667,0.0,6.15,1.1328766758,20.1,2.142857142857143,0.49107142857142855
48,Mitchell Trubisky,0.9891889,0.010811072,0,0,26.8,267.4,194.95,161.7,16.456666666666667,0.0,1.02,1.445879699,22.0,2.0,0.796875
49,Nick Mullens,0.98930204,0.010697986,0,0,26.2,131.2,86.39333333333332,128.28,9.642666666666665,0.0,,1.7228043352,20.5,0.0,0.3958333333333333
50,Taylor Heinicke,0.98930204,0.010697986,0,0,28.2,17.0,9.76,11.68,7.54,0.0,,1.9714755535,19.5,0.0,0.14583333333333334
51,Jameis Winston,0.9893682,0.010631826,0,1,27.4,328.0,217.7166666666667,2.4,13.4,0.16666666666666666,1.01,1.0598813549,19.7,1.6666666666666667,0.7916666666666666
52,Sean Mannion,0.9900452,0.009954787,0,0,29.1,5.0,1.3,,0.1,0.0,3.25,1.9178094606,20.4,0.0,0.1625
53,Tyler Huntley,0.9903273,0.009672728,0,0,23.3,2.9,2.9,2.9,1.45,0.0,,1.224197696,21.6,0.0,0.125
54,Kendall Hinton,0.9904366,0.009563405,0,0,24.3,-0.78,-0.78,-0.78,-0.78,0.0,,1.2665030085,,0.0,0.0625
55,Feleipe Franks,0.9909999,0.009000107,0,0,23.4,,,,,,,1.5111887315,20.7,,
56,Davis Mills,0.9909999,0.009000107,0,0,22.6,,,,,,3.03,1.1328766758,20.9,,
57,Sam Ehlinger,0.9909999,0.009000107,0,0,22.7,,,,,,6.33,1.33364433,19.9,,
58,Jake Fromm,0.9909999,0.009000107,0,0,22.8,,,,,,5.22,1.445879699,19.1,,
59,Trey Lance,0.9909999,0.009000107,0,0,21.1,,,,,,1.03,0.7294022965,,,
60,Jacob Eason,0.9909999,0.009000107,0,0,23.5,,,,,,4.16,1.33364433,21.8,,
61,Ian Book,0.9909999,0.009000107,0,0,23.2,,,,,,4.28,1.0598813549,20.4,,
62,Jimmy Garoppolo,0.99137026,0.008629724,0,1,29.6,256.0,73.20574285714285,69.3402,14.618899999999998,0.0,2.3,0.7294022965,19.8,0.2857142857142857,0.4107142857142857
63,Jacoby Brissett,0.9914836,0.008516375,0,0,28.5,220.5,96.25598,20.5799,5.456966666666666,0.0,3.29,0.9092896725,21.7,2.4,0.6125
64,Joe Flacco,0.99149513,0.008504875,0,0,36.4,275.2,168.9228571428571,57.76,12.817333333333332,0.0,1.18,0.651670957,21.6,1.1428571428571428,0.7142857142857143
65,C.J. Beathard,0.99274033,0.007259643,0,0,27.5,94.8,76.35993333333333,52.2798,12.55665,0.0,3.4,1.0102718325,21.8,1.3333333333333333,0.3541666666666667
