,rb?,te?,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,injury_risk,last_yr_games_played,hit_rate,Draft Pick,Breakout Age,cdr,id,year
0,1,0,24.1,185.5992,112.9494,185.5992,7.2906,0.875,17.0,0.0,2.3,19.3,34.8,A.J. Dillon,2022
1,1,0,27.5,315.2,210.94022,229.0005,17.819866666666666,0.8645833333333334,15.0,0.6,5.39,18.8,47.0,Aaron Jones,2022
2,1,0,29.4,47.0,20.633333333333333,,,0.4583333333333333,,0.0,6.3,,3.9,Aaron Ripkowski,2022
3,1,0,37.2,260.8,105.8749,26.6,8.077066666666667,0.6666666666666666,4.0,0.125,1.07,19.5,42.7,Adrian Peterson,2022
4,1,0,36.2,154.0,98.3,,,0.5,,0.0,7.4,18.5,46.3,Ahmad Bradshaw,2022
5,1,0,29.3,19.599999999999998,15.4,,,0.6041666666666666,,0.0,,20.5,27.1,Akeem Hunt,2022
6,1,0,25.9,29.700000000000003,23.650000000000002,,2.1500000000000004,0.6875,,0.0,,,10.1,Alec Ingold,2022
7,1,0,28.0,15.2,7.999999999999999,,0.8999999999999999,0.4625,,0.0,6.08,,3.2,Alex Armah,2022
8,1,0,27.8,171.0,81.17988,68.7995,6.6439,0.6,11.0,0.0,5.34,19.0,29.9,Alex Collins,2022
9,1,0,23.9,125.9008,93.9002,125.9008,6.6178,0.859375,16.0,0.0,3.38,19.2,28.7,Alexander Mattison,2022
10,1,0,35.4,6.0,6.0,,,0.1875,,0.0,,,8.6,Alfonso Smith,2022
11,1,0,31.1,112.0,82.72,,,0.85,,0.0,6.05,21.4,14.4,Alfred Blue,2022
12,1,0,33.5,187.2,72.2714,,2.4611,0.6328125,,0.0,6.03,20.7,50.0,Alfred Morris,2022
13,1,0,29.6,1.7999999999999998,1.7999999999999998,,,0.1875,,0.0,,18.8,22.5,Alonzo Harris,2022
14,1,0,26.9,377.8005,304.33998,234.6994,20.346833333333333,0.90625,13.0,1.0,3.03,20.1,23.3,Alvin Kamara,2022
15,1,0,29.0,124.60000000000001,61.49998571428572,89.49990000000001,3.3132333333333333,0.796875,17.0,0.0,2.22,19.2,34.6,Ameer Abdullah,2022
16,1,0,33.3,177.60000000000002,92.22500000000001,,,0.734375,,0.0,6.19,21.6,26.0,Andre Ellington,2022
17,1,0,29.8,145.6,47.574999999999996,,,0.546875,,0.0,4.13,19.0,44.8,Andre Williams,2022
18,1,0,29.0,25.299999999999997,15.460000000000003,,2.15,0.4375,,0.0,6.01,,5.7,Andy Janovich,2022
19,1,0,34.7,68.60000000000001,44.5,,,0.8125,,0.0,6.04,19.0,41.5,Anthony Dixon,2022
20,1,0,23.8,22.6996,12.5498,2.4,1.6318000000000001,0.40625,2.0,0.0,4.18,20.1,22.4,Anthony McFarland,2022
21,1,0,33.5,24.0,13.357142857142858,,1.7000000000000002,0.40625,,0.0,5.05,,3.4,Anthony Sherman,2022
22,1,0,36.7,78.0,31.866666666666664,,,0.2916666666666667,,0.0,,21.0,27.0,Antone Smith,2022
23,1,0,30.6,112.0,38.833333333333336,,,0.4583333333333333,,0.0,,20.9,35.8,Antonio Andrews,2022
24,1,0,23.9,229.1008,215.6507,229.1008,14.380849999999999,0.9375,16.0,1.0,3.02,21.2,17.4,Antonio Gibson,2022
25,1,0,35.8,273.0,123.0,,,0.4375,,0.3333333333333333,,19.0,21.0,Arian Foster,2022
26,1,0,26.0,9.399999999999999,4.699999999999999,0.0,0.94,0.1875,1.0,0.0,,20.3,17.4,Artavis Pierce,2022
27,1,0,27.0,343.8,217.34,343.8,19.105833333333333,0.8958333333333334,16.0,0.4,,18.3,45.7,Austin Ekeler,2022
28,1,0,33.0,15.0,9.0,,,0.25,,0.0,,,1.6,Austin Johnson,2022
29,1,0,25.8,19.0,11.5,19.0,2.875,0.25,4.0,0.0,,21.1,23.6,Austin Walter,2022
30,1,0,33.8,75.9,75.9,,,0.6875,,0.0,2.26,19.0,23.4,Ben Tate,2022
31,1,0,31.9,124.8,57.14000000000001,,,0.7875,,0.0,,21.2,38.6,Benny Cunningham,2022
32,1,0,24.3,74.9008,48.766999999999996,13.1002,3.583966666666667,0.859375,17.0,0.0,4.2,18.5,38.6,Benny Snell,2022
33,1,0,32.1,49.4,27.099999999999998,,,0.53125,,0.0,3.21,19.3,46.5,Bernard Pierce,2022
34,1,0,33.6,190.4,100.93333333333332,,2.8,0.7767857142857143,,0.0,4.29,20.9,37.2,Bilal Powell,2022
35,1,0,29.7,96.0,76.8,,,0.875,,0.0,2.22,20.0,36.8,Bishop Sankey,2022
36,1,0,25.7,43.2,23.150000000000002,,5.15,0.2708333333333333,,0.0,7.18,19.9,14.9,Bo Scarbrough,2022
37,1,0,34.6,111.0,40.575,,,0.703125,,0.0,,21.9,48.2,Bobby Rainey,2022
38,1,0,27.1,98.6,72.85,98.6,7.645833333333333,0.6375,16.0,0.0,6.27,22.4,23.3,Boston Scott,2022
39,1,0,28.6,0.4,0.4,,,0.125,,0.0,,21.9,15.3,Bralon Addison,2022
40,1,0,31.1,145.6,65.8,,,0.6041666666666666,,0.0,,20.3,38.3,Branden Oliver,2022
41,1,0,32.3,124.1,43.47142857142857,124.1,5.35,0.640625,17.0,0.0,,20.6,29.0,Brandon Bolden,2022
42,1,0,28.6,-0.4,-0.4,,,0.0625,,0.0,,18.8,28.0,Brandon Burks,2022
43,1,0,28.9,6.6000000000000005,4.050000000000001,,,0.1875,,0.0,,22.1,15.8,Brandon Wilds,2022
44,1,0,26.6,95.4,37.42,0.0,4.220833333333334,0.5,3.0,0.0,5.12,18.8,34.2,Brian Hill,2022
45,1,0,29.4,1.1,0.45000000000000007,,,0.0625,,0.0,,19.7,20.5,Bronson Hill,2022
46,1,0,31.1,44.1,28.650000000000002,,,0.3125,,0.0,7.22,,11.1,Bryce Brown,2022
47,1,0,26.2,7.700000000000001,3.233333333333334,1.1,0.32,0.46875,10.0,0.0,,20.4,17.8,Buddy Howell,2022
48,1,0,28.3,12.8,10.4,,,0.22916666666666666,,0.0,,19.6,13.4,Byron Marshall,2022
49,1,0,31.3,211.4,116.51666666666667,,2.1,0.5803571428571429,,0.16666666666666666,,20.6,18.2,C.J. Anderson,2022
50,1,0,28.9,37.699999999999996,25.975,,2.5,0.725,,0.0,,20.1,29.9,C.J. Ham,2022
51,1,0,28.0,61.199999999999996,24.9,,2.435,0.3958333333333333,,0.0,3.27,21.3,26.2,C.J. Prosise,2022
52,1,0,34.8,80.60000000000001,41.225,,,0.453125,,0.0,1.09,19.1,33.8,C.J. Spiller,2022
53,1,0,22.9,101.8004,53.0502,4.3,6.0654,0.4375,1.0,0.0,2.2,18.2,39.8,Cam Akers,2022
54,1,0,31.9,35.400000000000006,24.575000000000003,,,0.3125,,0.0,5.38,24.2,25.7,Cameron Artis-Payne,2022
55,1,0,31.7,233.6,120.13754999999999,45.800399999999996,7.302233333333334,0.8194444444444444,12.0,0.125,2.25,21.0,29.8,Carlos Hyde,2022
56,1,0,35.6,9.799999999999999,3.766666666666666,,,0.22916666666666666,,0.0,6.12,20.9,31.8,Cedric Peerman,2022
57,1,0,31.0,133.0,62.46,,,0.55,,0.0,,21.3,24.9,Charcandrick West,2022
58,1,0,31.7,179.2,95.35,,,0.71875,,0.0,3.05,19.0,35.8,Charles Sims,2022
59,1,0,26.1,168.0,114.17510000000001,143.30040000000002,10.247233333333334,0.8,12.0,0.0,4.34,18.4,34.1,Chase Edmonds,2022
60,1,0,27.7,232.5,141.92000000000002,48.1,14.391666666666666,0.6666666666666666,4.0,0.4,7.31,22.0,14.6,Chris Carson,2022
61,1,0,24.7,49.799400000000006,49.799400000000006,49.799400000000006,3.5571,0.875,14.0,0.0,6.18,19.9,12.6,Chris Evans,2022
62,1,0,34.2,202.5,122.22,,,0.8625,,0.2,,21.5,14.2,Chris Ivory,2022
63,1,0,36.7,115.2,64.57499999999999,,,0.546875,,0.0,1.24,19.0,42.5,Chris Johnson,2022
