,y,rb?,te?,age,max_ppg,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,Breakout Age,cdr
1,1,1,0,24.5,14.3,14.3,11.15,0.0,5.39,18.8,47.0
3,0,1,0,34.2,11.8,11.8,7.566666666666667,0.0,1.07,19.5,42.7
6,0,1,0,22.9,,,,,,,10.1
7,0,1,0,25.0,1.9,1.9,0.95,0.0,6.08,,3.2
9,0,1,0,20.9,,,,,3.38,19.2,28.7
12,0,1,0,30.5,6.2,6.2,4.8999999999999995,0.0,6.03,20.7,50.0
14,1,1,0,23.9,23.2,23.2,21.35,1.0,3.03,20.1,23.3
15,0,1,0,26.0,13.4,0.4,7.566666666666666,0.0,2.22,19.2,34.6
18,0,1,0,26.0,2.7,2.3,2.2,0.0,6.01,,5.7
21,0,1,0,30.5,3.4,2.6,2.233333333333333,0.0,5.05,,3.4
27,1,1,0,24.0,11.6,11.6,9.6,0.0,,18.3,45.7
32,0,1,0,21.3,,,,,4.2,18.5,38.6
34,0,1,0,30.6,11.9,8.6,10.066666666666668,0.0,4.29,20.9,37.2
36,0,1,0,22.7,,,,,7.18,19.9,14.9
38,0,1,0,24.1,0.0,0.0,0.0,0.0,6.27,22.4,23.3
41,0,1,0,29.299999999999997,5.9,5.9,2.766666666666667,0.0,,20.6,29.0
44,0,1,0,23.6,3.1,3.1,2.7,0.0,5.12,18.8,34.2
47,0,1,0,23.2,,,,,,20.4,17.8
49,0,1,0,28.3,14.6,7.5,10.966666666666667,0.0,,20.6,18.2
50,0,1,0,25.9,2.1,2.0,2.05,0.0,,20.1,29.9
51,0,1,0,25.0,10.2,2.5,5.633333333333333,0.0,3.27,21.3,26.2
55,0,1,0,28.7,14.6,7.0,12.066666666666668,0.0,2.25,21.0,29.8
59,0,1,0,23.1,3.9,3.9,3.9,0.0,4.34,18.4,34.1
60,1,1,0,24.7,14.4,14.4,12.15,0.0,7.31,22.0,14.6
66,0,1,0,28.6,15.3,9.2,11.233333333333334,0.3333333333333333,5.21,19.9,17.7
67,1,1,0,23.0,24.1,24.1,19.200000000000003,0.5,1.08,19.2,50.7
72,0,1,0,28.2,7.8,6.0,6.3999999999999995,0.0,1.29,21.5,17.1
73,0,1,0,24.6,7.2,7.2,6.85,0.0,,18.8,33.1
78,0,1,0,23.3,,,,,,20.5,16.2
80,0,1,0,25.5,4.6,,2.9,0.0,,19.8,18.8
81,1,1,0,23.8,16.4,13.8,15.1,0.5,2.09,19.1,38.8
82,0,1,0,24.5,,,,,,22.7,21.5
84,0,1,0,22.3,,,,,3.23,20.6,14.7
85,0,1,0,27.2,9.9,9.9,7.366666666666667,0.0,,20.4,20.0
87,0,1,0,25.6,1.3,1.2,1.0999999999999999,0.0,6.22,,12.5
91,0,1,0,25.1,0.0,0.0,0.0,0.0,,21.3,17.2
94,0,1,0,24.1,5.4,5.4,5.4,0.0,,22.4,21.5
95,0,1,0,21.8,,,,,3.06,20.0,33.9
97,0,1,0,36.0,10.8,10.2,9.033333333333333,0.0,4.29,19.2,34.1
100,0,1,0,22.3,,,,,6.41,21.6,24.7
104,0,1,0,27.5,25.4,15.3,17.900000000000002,0.6666666666666666,3.22,19.7,43.2
105,0,1,0,22.0,,,,,3.09,20.2,30.5
108,0,1,0,23.8,2.0,2.0,2.0,0.0,,21.0,28.6
110,0,1,0,26.3,6.6,1.4,4.566666666666667,0.0,5.04,21.5,23.4
115,0,1,0,26.6,1.8,0.6,1.2333333333333334,0.0,6.23,,2.1
118,1,1,0,25.4,12.6,12.6,9.5,0.0,2.14,20.7,43.5
119,0,1,0,21.9,,,,,2.27,19.2,32.2
122,0,1,0,21.7,,,,,3.1,19.0,36.1
123,0,1,0,22.7,,,,,,21.9,25.5
124,0,1,0,27.2,17.8,7.0,13.033333333333333,0.3333333333333333,4.03,19.5,17.8
125,0,1,0,27.0,8.9,5.5,7.133333333333333,0.0,4.38,22.3,40.1
127,0,1,0,22.4,,,,,6.21,21.7,21.5
128,0,1,0,28.7,12.3,10.0,10.033333333333333,0.0,5.18,18.9,35.2
131,0,1,0,24.3,1.8,1.8,1.8,0.0,,19.5,29.1
135,0,1,0,25.7,13.5,8.0,10.166666666666666,0.0,3.13,19.0,33.0
136,0,1,0,25.1,4.4,3.8,3.266666666666667,0.0,7.15,20.4,20.1
142,0,1,0,25.8,4.6,1.7,3.15,0.0,,21.1,31.1
144,1,1,0,23.9,21.8,21.8,21.266666666666666,1.0,1.04,19.1,37.8
147,0,1,0,36.1,13.4,7.3,10.500000000000002,0.0,3.01,20.3,26.4
154,0,1,0,27.5,12.2,8.0,9.9,0.0,2.05,19.8,35.6
156,0,1,0,24.1,8.0,8.0,8.0,0.0,,22.4,26.4
159,0,1,0,23.7,7.5,7.5,7.5,0.0,4.26,20.0,33.9
160,0,1,0,25.8,8.1,0.3,4.066666666666666,0.0,,,10.2
169,0,1,0,24.5,,,,,,,0.2
171,0,1,0,25.6,9.8,9.8,7.5,0.0,,18.9,22.6
174,0,1,0,24.2,9.5,7.0,8.25,0.0,4.28,17.4,36.4
175,0,1,0,24.1,21.2,21.2,11.2,0.5,3.41,18.3,34.4
