,Full Name,0,1,Position,Team
0,Alvin Kamara,0.22695029,0.7730497,RB,New Orleans Saints
1,Nick Chubb,0.22847563,0.77152437,RB,Cleveland Browns
2,Mike Evans,0.2319212,0.7680788,WR,Tampa Bay Buccaneers
3,Chris Godwin,0.23458093,0.76541907,WR,Tampa Bay Buccaneers
4,Jarvis Landry,0.25210822,0.7478918,WR,Cleveland Browns
5,Dalvin Cook,0.25532717,0.74467283,RB,Minnesota Vikings
6,DeAndre Hopkins,0.27081567,0.7291843,WR,Arizona Cardinals
7,D.J. Moore,0.27822065,0.72177935,WR,Carolina Panthers
8,Kenny Golladay,0.27850258,0.7214974,WR,Detroit Lions
9,Cooper Kupp,0.29186285,0.70813715,WR,Los Angeles Rams
10,Christian McCaffrey,0.29514408,0.7048559,RB,Carolina Panthers
11,Keenan Allen,0.3062222,0.6937778,WR,Los Angeles Chargers
12,Josh Jacobs,0.30679137,0.69320863,RB,Las Vegas Raiders
13,Amari Cooper,0.30694157,0.69305843,WR,Dallas Cowboys
14,Joe Mixon,0.30735624,0.69264376,RB,Cincinnati Bengals
15,Terry McLaurin,0.30749637,0.69250363,WR,Washington Commanders
16,Ezekiel Elliott,0.3087284,0.6912716,RB,Dallas Cowboys
17,Travis Kelce,0.32597125,0.67402875,TE,Kansas City Chiefs
18,Michael Thomas,0.33116084,0.66883916,WR,New Orleans Saints
19,D.K. Metcalf,0.33139336,0.66860664,WR,Seattle Seahawks
20,Derrick Henry,0.35526335,0.64473665,RB,Tennessee Titans
21,Davante Adams,0.36448252,0.6355175,WR,Green Bay Packers
22,Leonard Fournette,0.3684433,0.6315567,RB,Tampa Bay Buccaneers
23,Tyreek Hill,0.384162,0.615838,WR,Kansas City Chiefs
24,Saquon Barkley,0.38971448,0.6102855,RB,New York Giants
25,A.J. Brown,0.4175523,0.5824477,WR,Tennessee Titans
26,Stefon Diggs,0.41788566,0.58211434,WR,Buffalo Bills
27,Aaron Jones,0.42370743,0.5762926,RB,Green Bay Packers
28,Calvin Ridley,0.43418115,0.56581885,WR,Atlanta Falcons
29,Todd Gurley,0.43500632,0.5649937,RB,Atlanta Falcons
30,Tyler Lockett,0.43772155,0.56227845,WR,Seattle Seahawks
31,Allen Robinson,0.44838876,0.55161124,WR,Chicago Bears
32,Kareem Hunt,0.47115886,0.52884114,RB,Cleveland Browns
33,Robert Woods,0.49953932,0.5004607,WR,Los Angeles Rams
34,Miles Sanders,0.5009495,0.49905053,RB,Philadelphia Eagles
35,Julio Jones,0.50917375,0.49082628,WR,Atlanta Falcons
36,George Kittle,0.5098944,0.4901056,TE,San Francisco 49ers
37,Courtland Sutton,0.51938957,0.48061043,WR,Denver Broncos
38,Diontae Johnson,0.5211005,0.4788995,WR,Pittsburgh Steelers
39,Tyler Boyd,0.5351409,0.46485913,WR,Cincinnati Bengals
40,Brandin Cooks,0.5767617,0.4232383,WR,Houston Texans
41,Deebo Samuel,0.58195543,0.4180446,WR,San Francisco 49ers
42,David Montgomery,0.5827292,0.41727078,RB,Chicago Bears
43,Austin Ekeler,0.58957016,0.4104298,RB,Los Angeles Chargers
44,Mark Andrews,0.6445576,0.35544237,TE,Baltimore Ravens
45,Michael Gallup,0.6687468,0.3312532,WR,Dallas Cowboys
46,Corey Davis,0.6773156,0.32268438,WR,Tennessee Titans
47,Austin Hooper,0.7110096,0.2889904,TE,Cleveland Browns
48,Le'Veon Bell,0.71149683,0.2885032,RB,New York Jets
49,Jonathan Taylor,0.7163737,0.28362635,RB,Indianapolis Colts
50,Jamison Crowder,0.7352965,0.26470354,WR,New York Jets
51,Kenyan Drake,0.7368593,0.26314065,RB,Arizona Cardinals
52,Mark Ingram,0.737186,0.262814,RB,Baltimore Ravens
53,Chris Carson,0.739869,0.260131,RB,Seattle Seahawks
54,Royce Freeman,0.74964106,0.25035894,RB,Denver Broncos
55,Odell Beckham,0.75562817,0.24437182,WR,Cleveland Browns
56,Duke Johnson,0.77648264,0.22351736,RB,Houston Texans
57,John Brown,0.7798108,0.2201892,WR,Buffalo Bills
58,Ronald Jones,0.7816094,0.2183906,RB,Tampa Bay Buccaneers
59,Tarik Cohen,0.7817961,0.21820387,RB,Chicago Bears
60,Marquise Brown,0.78255165,0.21744835,WR,Baltimore Ravens
61,D'Andre Swift,0.78518504,0.21481495,RB,Detroit Lions
62,Clyde Edwards-Helaire,0.78518504,0.21481495,RB,Kansas City Chiefs
