,Full Name,0,1,fpts_2021
0,Dalvin Cook,0.10361904,0.89638096,206.2996
1,Travis Kelce,0.11078441,0.8892156,262.8
2,Christian McCaffrey,0.13790786,0.86209214,127.5001
3,Mike Evans,0.1386053,0.8613947,262.4992
4,Tyreek Hill,0.13884419,0.8611558,296.50039999999996
5,Aaron Jones,0.1439054,0.8560946,229.0005
6,Stefon Diggs,0.1443299,0.8556701,285.4997
7,Alvin Kamara,0.14552242,0.8544776,234.6994
8,Davante Adams,0.15470636,0.84529364,344.3008
9,Robert Woods,0.17468363,0.82531637,137.1996
10,Austin Ekeler,0.18034112,0.8196589,343.8
11,Derrick Henry,0.19288188,0.8071181,193.3
12,Jonathan Taylor,0.20660454,0.79339546,373.10069999999996
13,D'Andre Swift,0.21370268,0.7862973,208.8996
14,George Kittle,0.21890748,0.7810925,198.0006
15,Chris Carson,0.24046093,0.75953907,48.1
16,Josh Jacobs,0.27666348,0.7233365,226.00050000000002
17,Leonard Fournette,0.2798707,0.7201293,255.5
18,Keenan Allen,0.2808016,0.7191984,257.8
19,Julio Jones,0.29842752,0.7015725,80.39999999999999
20,Cooper Kupp,0.3019005,0.6980995,439.4993
21,Justin Jefferson,0.32468224,0.67531776,330.4001
22,Joe Mixon,0.32480103,0.675199,287.8992
23,Chris Godwin,0.35410947,0.64589053,242.40019999999998
24,Nick Chubb,0.39138418,0.6086158,215.3004
25,Tee Higgins,0.42657006,0.57342994,219.1
26,Deebo Samuel,0.44186783,0.5581322,338.96
27,CeeDee Lamb,0.46383572,0.5361643,232.8
28,Tyler Lockett,0.49417406,0.50582594,241.4
29,Antonio Brown,0.51363647,0.48636356,121.10000000000001
30,James Robinson,0.53627646,0.4637235,173.8996
31,DeAndre Hopkins,0.55790395,0.44209605,147.20000000000002
32,Adam Thielen,0.5788307,0.4211693,199.7996
33,Clyde Edwards-Helaire,0.57943743,0.42056257,117.6
34,Jaylen Waddle,0.5830335,0.4169665,245.8
35,Kyle Pitts,0.5984086,0.4015914,176.5994
36,Saquon Barkley,0.6290115,0.37098846,148.6004
37,Darren Waller,0.6388023,0.36119774,133.5004
38,James Conner,0.67424333,0.32575667,257.7
39,Ezekiel Elliott,0.679078,0.320922,252.0607
40,Brandin Cooks,0.67999405,0.32000595,231.8
41,Brandon Aiyuk,0.6934161,0.30658388,170.29919999999998
42,JuJu Smith-Schuster,0.6986228,0.30137718,34.8
43,Ja'Marr Chase,0.70679283,0.2932072,304.5992
44,Calvin Ridley,0.7104414,0.2895586,71.10000000000001
45,David Montgomery,0.72058153,0.27941844,195.9997
46,Curtis Samuel,0.72393405,0.27606595,9.8
47,Cam Akers,0.7369714,0.26302862,4.3
48,Mike Williams,0.7584764,0.2415236,246.6
49,D.K. Metcalf,0.7622125,0.23778749,244.3002
50,Tyler Boyd,0.7777569,0.22224309,183.84
51,Terry McLaurin,0.78113216,0.21886784,213.4996
52,A.J. Green,0.7918884,0.20811157,156.8
53,Rashod Bateman,0.8057828,0.19421718,103.5
54,Kareem Hunt,0.80868745,0.19131255,110.0
55,A.J. Brown,0.81440383,0.18559617,180.9002
56,Melvin Gordon,0.81962603,0.18037397,195.2
57,Amari Cooper,0.82055897,0.17944105,202.5
58,Allen Robinson,0.82699126,0.17300873,87.0
59,Will Fuller,0.8390236,0.16097642,8.6
60,Diontae Johnson,0.84245855,0.15754144,274.4
61,Myles Gaskin,0.84460294,0.15539707,173.60060000000001
62,Ronald Jones,0.8467846,0.15321541,79.2
63,Antonio Gibson,0.8493944,0.1506056,229.1008
64,Sammy Watkins,0.85662216,0.14337786,70.4002
65,Corey Davis,0.8620317,0.13796832,105.2001
66,D.J. Moore,0.8661954,0.13380462,237.50019999999998
67,Hunter Renfrow,0.8804686,0.11953139,259.1004
68,David Johnson,0.8816637,0.118336335,81.2994
69,Denzel Mims,0.88245654,0.11754347,21.3004
70,Devonta Smith,0.88286936,0.11713063,185.5992
71,Kenyan Drake,0.8857412,0.11425882,102.50040000000001
72,Emmanuel Sanders,0.88991266,0.11008734,131.6994
73,Chase Claypool,0.8913933,0.10860667,166.6005
74,Jamison Crowder,0.8981277,0.10187233,109.7004
75,Zack Moss,0.8982891,0.101710886,105.1999
76,D.J. Chark,0.90240926,0.09759076,34.4
77,Salvon Ahmed,0.902488,0.097512,38.6004
78,Laviska Shenault,0.9037242,0.09627579,127.0
79,Kadarius Toney,0.90510994,0.09489008,82.36000000000001
80,Mike Davis,0.90655994,0.093440026,138.1998
81,Mike Davis,0.90655994,0.093440026,138.1998
82,Jerry Jeudy,0.90830773,0.091692284,85.0
83,Jaret Patterson,0.9127451,0.08725491,55.8994
84,Miles Sanders,0.9136663,0.08633371,117.2004
85,Bryan Edwards,0.91520727,0.084792726,109.1008
86,Benny Snell,0.9174957,0.082504295,13.1002
87,Odell Beckham,0.9189324,0.08106762,129.09959999999998
88,Elijah Moore,0.9223367,0.07766327,138.1996
89,Hunter Henry,0.93515265,0.064847335,164.2999
90,Tutu Atwell,0.93563426,0.06436573,0.0
91,Marquise Brown,0.93882155,0.061178423,226.3008
92,DeVante Parker,0.938907,0.061092947,103.5
93,Sterling Shepard,0.9401104,0.059889596,77.7
94,Jarvis Landry,0.943194,0.056806035,132.9996
95,Courtland Sutton,0.9442923,0.055707693,150.2392
96,Darnell Mooney,0.94456565,0.055434316,219.6995
97,Jermar Jefferson,0.946841,0.053158976,25.699800000000003
98,Dallas Goedert,0.94771266,0.052287363,165.0
99,Jalen Reagor,0.9485171,0.05148289,78.0997
100,Jeff Wilson,0.95021844,0.04978158,51.4998
101,Dyami Brown,0.9502337,0.04976632,28.0995
102,DeSean Jackson,0.95106834,0.048931677,75.8
103,Devin Singletary,0.95499665,0.045003336,197.80010000000001
104,Rondale Moore,0.95628285,0.04371715,109.1006
105,Najee Harris,0.9578067,0.0421933,300.69939999999997
106,Kerryon Johnson,0.95905674,0.040943258,0.0
107,Evan Engram,0.9596857,0.04031433,102.49950000000001
108,Marvin Jones,0.9598638,0.040136203,180.2
109,Jamaal Williams,0.96052444,0.03947553,119.8002
110,Nyheim Hines,0.9612329,0.038767118,112.5995
111,Zach Ertz,0.9616181,0.03838189,180.6998
112,Noah Fant,0.96162444,0.038375583,159.0
113,Javonte Williams,0.9620868,0.037913222,204.89929999999998
114,Kenny Golladay,0.9627797,0.037220284,89.1002
115,K.J. Hamler,0.96284175,0.037158232,12.3999
116,N'Keal Harry,0.9632295,0.036770504,28.400399999999998
117,Michael Gallup,0.9652297,0.034770302,91.50030000000001
118,Mark Andrews,0.96542376,0.03457622,301.1006
119,A.J. Dillon,0.9660622,0.03393781,185.5992
120,Jordan Howard,0.9664612,0.033538803,62.50019999999999
121,Eric Ebron,0.96679026,0.03320972,32.5
122,Randall Cobb,0.96716535,0.03283463,93.6
123,T.Y. Hilton,0.96742135,0.032578666,74.1
124,Russell Gage,0.968711,0.03128895,163.0006
125,Preston Williams,0.969301,0.030699005,13.8
126,Christian Kirk,0.969998,0.030002024,207.61929999999998
127,James White,0.9715268,0.028473198,31.200000000000003
128,Terrace Marshall,0.97154117,0.028458832,32.8003
129,Aaron Parker,0.9719245,0.028075512,0.0
130,Rob Gronkowski,0.9719481,0.028051892,171.2004
131,T.J. Hockenson,0.97214264,0.027857384,145.2996
132,Gabriel Davis,0.9724205,0.027579483,125.9008
133,Sony Michel,0.9725366,0.027463391,146.3003
134,Seth Williams,0.9726763,0.027323695,4.4
135,Adrian Peterson,0.973063,0.026937004,26.6
136,Nelson Agholor,0.973626,0.026374,103.3995
137,Darius Slayton,0.9740465,0.025953457,68.5997
138,Le'Veon Bell,0.9756705,0.024329506,38.1
139,Marlon Mack,0.9758369,0.024163142,12.899999999999999
140,Mark Ingram,0.97612005,0.023879971,108.5994
141,Hunter Long,0.97772795,0.022272022,1.7997
142,Chase Edmonds,0.97794783,0.022052145,143.30040000000002
143,O.J. Howard,0.97857094,0.02142908,33.5002
144,Mecole Hardman,0.978637,0.021362996,140.89939999999999
145,Tyler Johnson,0.9790947,0.020905312,72.00009999999999
146,Alex Collins,0.9791491,0.020850867,68.7995
147,Rashard Higgins,0.97943157,0.020568455,57.4995
148,Brevin Jordan,0.9799153,0.020084683,55.800000000000004
149,Robby Anderson,0.98011106,0.019888928,138.5007
150,Josh Palmer,0.9801169,0.01988308,92.89989999999999
151,Amari Rodgers,0.9801169,0.01988308,9.6
152,Keke Coutee,0.98026115,0.019738872,1.5
153,Duke Johnson,0.9802654,0.01973461,59.1
154,Trayveon Williams,0.9807169,0.019283101,6.5
155,Ke'Shawn Vaughn,0.98136336,0.018636664,36.599999999999994
156,Rex Burkhead,0.9814577,0.018542264,104.3008
157,Raheem Mostert,0.9821372,0.017862821,2.0
158,John Ross,0.98325074,0.016749265,41.0
159,Mike Davis,0.9834069,0.016593123,138.1998
160,Mike Davis,0.9834069,0.016593123,138.1998
161,Justin Jackson,0.98342836,0.01657167,86.1994
162,Phillip Dorsett,0.9845952,0.015404802,18.0
163,Breshad Perriman,0.9846538,0.015346222,33.4002
164,Jonnu Smith,0.9849093,0.015090711,67.4
165,Henry Ruggs,0.9853037,0.014696293,84.49980000000001
166,Antonio Gandy-Golden,0.9854468,0.014553177,0.0
167,Spencer Brown,0.98545873,0.01454127,0.0
168,Albert Wilson,0.985499,0.014500976,48.0004
169,Mike Strachan,0.98562235,0.014377646,4.6000000000000005
170,Cole Beasley,0.985688,0.014312053,159.2992
171,Royce Freeman,0.98574924,0.014250766,34.600500000000004
172,Pat Freiermuth,0.98625994,0.013740033,151.6992
173,James Washington,0.98678684,0.01321317,65.8005
174,Isaiah Ford,0.9868898,0.013110248,40.0998
175,Simi Fehoko,0.9870441,0.012955914,0.0
176,Quintez Cephus,0.9871572,0.012842802,49.400000000000006
177,Ihmir Smith-Marsette,0.9872318,0.012768183,28.6
178,Nate McCrary,0.9872437,0.012756305,-0.1
179,Michael Carter,0.9873234,0.012676618,154.40040000000002
180,Mike Gesicki,0.9873968,0.012603225,165.00029999999998
181,Ashton Dulin,0.9876553,0.012344697,45.500499999999995
182,Jordan Matthews,0.9876963,0.0123036895,0.0
183,Anthony Miller,0.9877367,0.012263308,14.4999
184,Greg Dortch,0.9885114,0.0114885885,6.8999999999999995
185,D'Wayne Eskridge,0.9888562,0.011143787,28.3
186,Andre Roberts,0.98887074,0.011129253,10.4
187,Kawaan Baker,0.9889661,0.011033881,0.0
188,Albert Okwuegbunam,0.9889719,0.011028128,76.0004
189,Derek Carrier,0.989102,0.010897984,3.3000000000000003
190,D.J. Montgomery,0.9892575,0.010742467,6.6000000000000005
191,Tommy Tremble,0.9894434,0.010556579,53.1008
192,Eno Benjamin,0.98955667,0.010443303,27.9999
193,Darrell Henderson,0.9895746,0.010425406,163.4004
194,Dax Milne,0.9896363,0.01036371,15.3998
195,Colby Parkinson,0.9897199,0.010280094,8.3006
196,Amon-Ra St. Brown,0.98983467,0.010165334,227.3002
197,Keelan Cole,0.98990244,0.010097544,78.89999999999999
198,Parris Campbell,0.99008113,0.009918842,32.200199999999995
199,David Moore,0.990097,0.009903,0.0
200,Tylan Wallace,0.99039984,0.0096001355,4.299300000000001
201,J.D. McKissic,0.9904173,0.009582679,127.9003
202,Kevin White,0.9904834,0.009516623,4.800000000000001
203,Latavius Murray,0.99049157,0.009508414,103.60000000000001
204,Jaelon Darden,0.9906202,0.009379821,11.4003
205,Isaiah Hodgins,0.99084365,0.009156336,0.0
