,y,starter,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,supporting_cast,breakout_age,konami,games_played_rate
0,0,0,26.7,57.4,57.4,,8.2,0.0,5.24,1.122148465,21.0,0.0,0.4375
1,0,1,29.6,268.8,253.23333333333335,268.8,17.03333333333333,0.0,2.03,1.122148465,20.9,3.6666666666666665,0.9375
2,0,1,33.5,382.4,346.6666666666667,382.4,21.666666666666668,1.0,1.24,1.407870924,19.8,2.3333333333333335,1.0
3,0,0,24.0,-0.4,-0.4,-0.4,-0.1,0.0,5.11,1.407870924,19.2,0.0,0.25
4,0,0,24.0,,,,,,,1.407870924,,,
5,0,1,33.1,273.6,242.70000000000002,228.0,15.800000000000002,0.0,1.01,1.37049463,19.3,2.6666666666666665,0.9583333333333334
6,0,0,32.8,57.6,19.533333333333335,57.6,5.033333333333333,0.0,,1.37049463,22.1,0.0,0.14583333333333334
7,0,0,21.7,,,,,,1.1,1.37049463,19.0,,
8,0,0,25.4,,,,,,,1.37049463,18.7,,
9,0,0,28.0,117.0,69.6,,10.2,0.0,,0.96977156,21.3,0.0,0.375
10,1,1,28.5,344.0,317.8666666666666,275.2,19.866666666666664,0.6666666666666666,3.12,0.96977156,19.8,2.6666666666666665,1.0
11,0,1,35.3,305.6,264.2,259.0,18.866666666666667,0.3333333333333333,1.11,1.582947849,19.5,0.3333333333333333,0.875
12,0,0,28.200000000000003,35.7,30.8,35.7,4.4,0.0,4.18,1.582947849,21.4,0.0,0.4375
13,0,0,27.6,136.8,73.8,78.6,12.066666666666668,0.0,1.1,1.326758717,19.9,1.0,0.3125
14,0,1,37.4,320.0,225.76666666666665,250.5,18.166666666666668,0.3333333333333333,1.01,1.326758717,22.7,0.3333333333333333,0.7708333333333334
15,0,0,33.1,98.1,37.06666666666666,12.5,4.5,0.0,2.11,1.326758717,20.3,0.0,0.4166666666666667
16,0,1,25.4,332.8,265.93333333333334,281.6,17.166666666666668,0.3333333333333333,1.03,1.35007508,20.7,1.6666666666666667,0.9583333333333334
17,0,0,31.9,162.0,64.33333333333333,-0.2,7.000000000000001,0.0,2.26,1.35007508,20.2,0.0,0.3958333333333333
18,0,1,31.6,173.8,141.00000000000003,79.8,13.733333333333334,0.0,,1.263522129,,0.0,0.6458333333333334
