,y,starter,age,max_pts,last_pts,2_yr_trail_avg_fppg,Draft Pick,breakout_age,games_played_rate,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
0,276.8,1,35.5,382.4,308.8,19.35,1.24,19.8,0.8875,16,16,372,597,62.3,4442,25,4.2,2,0.3,200,75,7.4,8.1,11.9,277.6,97.6,58.0,49,353,7.6,6.33,6.96,3.0,3.0
1,213.2,1,31.6,268.8,185.9,15.399999999999999,2.03,20.9,0.9,11,11,226,365,61.9,2566,21,5.8,11,3.0,132,49,7.0,6.8,11.4,233.3,89.6,59.4,21,157,5.4,6.24,6.05,3.0,4.0
2,248.0,1,24.1,250.6,250.6,17.9,1.01,18.4,0.875,14,13,310,486,63.8,3725,27,5.6,14,2.9,171,71,7.7,7.5,12.0,266.1,93.7,51.2,25,173,4.9,6.95,6.77,3.0,4.0
3,13.8,1,37.3,348.8,348.8,19.9,1.11,19.5,0.9125,16,16,452,675,67.0,5129,34,5.0,16,2.4,248,97,7.6,7.5,11.3,320.6,96.5,69.6,24,166,3.4,7.1,7.04,2.0,3.0
4,-0.8,0,27.4,332.8,184.6,15.1,1.03,20.7,0.9375,13,12,243,403,60.3,2718,13,3.2,11,2.7,126,80,6.7,6.2,11.2,209.1,79.8,43.4,31,173,7.1,5.86,5.32,0.0,1.0
5,17.6,1,30.1,398.4,291.2,20.200000000000003,1.01,21.3,0.9375,14,14,320,471,67.9,3395,24,5.1,13,2.8,180,82,7.2,7.0,10.6,242.5,94.2,53.2,29,213,5.8,6.36,6.15,2.0,2.0
6,278.4,1,26.4,280.8,198.0,19.8,1.02,21.7,0.8333333333333334,11,11,279,401,69.6,3074,21,5.2,7,1.7,159,58,7.7,7.9,11.0,279.5,102.2,62.0,31,202,7.2,6.65,6.89,2.0,2.0
7,108.0,1,31.299999999999997,243.0,230.4,15.3,,19.6,0.6,16,16,365,586,62.3,3890,18,3.1,15,2.6,179,64,6.6,6.1,10.7,243.1,81.2,44.5,34,235,5.5,5.9,5.39,3.0,4.0
8,27.9,0,32.7,31.6,31.6,3.85,,19.9,0.125,5,2,53,76,69.7,515,3,3.9,2,2.6,23,46,6.8,6.4,9.7,103.0,90.6,27.5,9,40,10.6,5.59,5.24,1.0,0.0
9,5.2,0,32.8,66.0,30.3,10.1,3.21,20.0,0.20833333333333334,3,2,34,54,63.0,372,3,5.6,3,5.6,17,53,6.9,5.5,10.9,124.0,78.6,38.8,6,36,10.0,5.6,4.35,,
10,347.2,1,25.8,291.2,289.6,17.6,4.37,20.1,1.0,16,16,356,526,67.7,3885,22,4.2,8,1.5,206,90,7.4,7.5,10.9,242.8,96.9,55.2,56,347,9.6,6.08,6.22,3.0,5.0
11,252.8,1,28.2,284.8,224.0,14.1,2.04,20.4,0.975,16,16,381,553,68.9,4049,19,3.4,10,1.8,197,66,7.3,7.2,10.6,253.1,93.9,46.5,51,299,8.4,6.21,6.09,3.0,3.0
12,330.0,1,23.7,340.8,340.8,23.0,1.12,20.0,0.71875,16,16,345,505,68.3,4165,26,5.1,9,1.8,215,73,8.2,8.5,12.1,260.3,103.1,61.8,62,384,10.9,6.67,6.87,5.0,5.0
13,228.8,1,40.4,347.2,307.5,18.7,2.01,19.6,0.975,15,15,364,489,74.4,3992,32,6.5,5,1.0,223,72,8.2,9.0,11.0,266.1,115.7,79.2,17,121,3.4,7.65,8.47,6.0,7.0
14,59.2,1,38.4,300.8,244.8,14.350000000000001,1.01,20.7,0.9875,16,16,380,576,66.0,4299,21,3.6,11,1.9,205,58,7.5,7.3,11.3,268.7,92.4,49.1,47,358,7.5,6.33,6.21,1.0,2.0
15,328.0,1,25.4,286.4,210.1,17.65,1.01,19.7,0.875,11,9,244,378,64.6,2992,19,5.0,14,3.7,152,64,7.9,7.3,12.3,272.0,90.2,66.2,27,157,6.7,7.0,6.38,0.0,1.0
16,264.0,1,24.6,318.4,318.4,18.7,1.01,18.9,0.7916666666666666,16,16,364,561,64.9,4688,32,5.7,12,2.1,268,70,8.4,8.5,12.9,293.0,101.1,63.6,33,223,5.6,7.52,7.69,4.0,4.0
17,61.2,0,26.1,84.8,84.8,10.6,6.32,18.4,0.5,9,5,105,176,59.7,1003,6,3.4,2,1.1,50,37,5.7,5.9,9.6,111.4,82.2,29.7,16,122,8.3,4.59,4.74,,
18,256.0,1,27.6,91.8,48.9,15.8,2.3,19.8,0.3,3,3,53,89,59.6,718,5,5.6,3,3.4,35,56,8.1,7.7,13.5,239.3,90.0,27.5,13,97,12.7,6.09,5.75,,
19,88.0,1,34.4,275.2,143.1,14.100000000000001,1.18,21.6,0.8375,9,9,232,379,61.2,2465,12,3.2,6,1.6,119,71,6.5,6.4,10.6,273.9,84.2,54.8,16,79,4.1,6.04,5.96,,
20,291.2,1,23.0,218.4,218.4,18.2,1.07,20.3,0.75,12,11,169,320,52.8,2074,10,3.1,12,3.8,89,75,6.5,5.4,12.3,172.8,67.9,49.8,28,213,8.0,5.35,4.37,2.0,3.0
21,0.8,0,39.9,214.5,24.8,11.35,3.16,,0.5125,4,3,60,110,54.5,539,1,0.9,4,3.6,27,41,4.9,3.4,9.0,134.8,55.8,33.8,7,35,6.0,4.31,2.94,,
22,23.0,0,22.3,124.6,124.6,8.9,1.1,18.6,0.875,14,13,217,393,55.2,2278,11,2.8,14,3.6,112,75,5.8,4.8,10.5,162.7,66.7,24.1,45,320,10.3,4.47,3.53,1.0,2.0
23,249.0,1,30.799999999999997,312.0,286.4,18.049999999999997,4.07,21.0,0.875,16,16,425,606,70.1,4298,30,5.0,10,1.7,218,75,7.1,7.3,10.1,268.6,99.7,59.5,40,262,6.2,6.25,6.48,1.0,0.0
24,193.7,0,23.2,26.6,26.6,13.3,,18.5,0.125,2,1,20,31,64.5,266,2,6.5,0,0.0,11,53,8.6,9.9,13.3,133.0,113.1,95.2,0,0,0.0,8.58,9.87,,
