id,firstName,lastName,id,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek
fa2fcc47-5a09-458e-82b6-656b030ad88a,Jonathan,Taylor,Jonathan Taylor,1.2,383.1,RB1,RB,Indianapolis Colts,,
70580da9-7858-462f-a1fd-4ff47a7b1172,Cooper,Kupp,Cooper Kupp,2.5,330.1,WR1,WR,Los Angeles Rams,,
715fd9c0-eb4b-494a-ac9f-d5c53579db72,Christian,McCaffrey,Christian McCaffrey,3.2,270.3,RB2,RB,Carolina Panthers,,
62154a84-9ad4-41f8-b3f3-23801013ebc8,Justin,Jefferson,Justin Jefferson,4.1,266.5,WR2,WR,Minnesota Vikings,,
6022e5bc-a85c-471a-b78b-a66066f24ce4,Ja'Marr,Chase,Ja'Marr Chase,5.1,276.2,WR3,WR,Cincinnati Bengals,,
40f907c8-711d-4f93-93f7-e268d966fe42,Austin,Ekeler,Austin Ekeler,6.5,260,RB3,RB,Los Angeles Chargers,,
69687967-146f-40b7-9dc9-851995c3f4ac,Derrick,Henry,Derrick Henry,7.6,318.9,RB4,RB,Tennessee Titans,,
ca6b7b2f-cdba-40cd-86ec-851629b8890b,Stefon,Diggs,Stefon Diggs,8.6,235.9,WR4,WR,Buffalo Bills,,
f015ede6-d975-495c-ac72-4e01ec70fee8,Najee,Harris,Najee Harris,8.7,221.6,RB5,RB,Pittsburgh Steelers,,
f40693b0-68e6-4360-b90c-b55bc425147b,Dalvin,Cook,Dalvin Cook,11,248.6,RB6,RB,Minnesota Vikings,,
ff866ea0-6a39-4843-8a53-523c7b6e16e3,Travis,Kelce,Travis Kelce,11.3,232.3,TE1,TE,Kansas City Chiefs,,
afce47e8-89bb-48d5-bc3a-5fc67a0ce50b,Davante,Adams,Davante Adams,11.4,247.7,WR5,WR,Las Vegas Raiders,,
fce90658-25d8-4bc2-aec4-242a8784e910,CeeDee,Lamb,CeeDee Lamb,13.4,215.2,WR6,WR,Dallas Cowboys,,
72a1b950-f005-419c-b67f-08d7f7f5df27,Joe,Mixon,Joe Mixon,13.4,248.5,RB7,RB,Cincinnati Bengals,,
2cd9ecbb-3f8a-4dda-b918-10163b9bf749,Mark,Andrews,Mark Andrews,16.3,211,TE2,TE,Baltimore Ravens,,
eddbec45-5a29-4976-af96-176858468bcb,D'Andre,Swift,D'Andre Swift,16.7,203.9,RB8,RB,Detroit Lions,,
7fde70e8-ab8e-4064-99fb-3ddd88e5dc9f,Deebo,Samuel,Deebo Samuel,17.4,248.1,WR7,WR,San Francisco 49ers,,
1fe3abfa-791d-4477-800e-d08243134ce7,Aaron,Jones,Aaron Jones,18.3,175.5,RB9,RB,Green Bay Packers,,
