,id_y,id_x
0,69687967-146f-40b7-9dc9-851995c3f4ac,Derrick Henry
1,f015ede6-d975-495c-ac72-4e01ec70fee8,Najee Harris
2,1fe3abfa-791d-4477-800e-d08243134ce7,Aaron Jones
3,032962ab-fc10-45ea-92c4-24f0ae80de63,Javonte Williams
4,70580da9-7858-462f-a1fd-4ff47a7b1172,Cooper Kupp
5,fa2fcc47-5a09-458e-82b6-656b030ad88a,Jonathan Taylor
6,ff866ea0-6a39-4843-8a53-523c7b6e16e3,Travis Kelce
7,03f17ad2-f686-42e3-bc73-343f72f24d01,A.J. Brown
8,ca6b7b2f-cdba-40cd-86ec-851629b8890b,Stefon Diggs
9,56644f6b-3c3b-41e0-9e97-e8a9ec3c84be,Devonta Smith
10,a02e9e01-0185-4a4b-a692-cdd006d9ddf0,Josh Allen
11,72e44052-5065-4bd4-a2db-c3f9949ec20e,Lamar Jackson
12,07be9979-34f6-41ca-a078-54e1ec22699e,Deshaun Watson
13,775a2782-c1e2-40f7-983c-2cf0e7863edb,Josh Jacobs
14,2933617f-a121-459c-9714-35bd8345303a,Kyler Murray
15,cd07ea39-bbc8-40f5-a61e-d16963f518a3,Justin Herbert
16,eddbec45-5a29-4976-af96-176858468bcb,D'Andre Swift
17,f40693b0-68e6-4360-b90c-b55bc425147b,Dalvin Cook
18,aa962038-90f9-43d6-9b87-b49999168b25,Michael Pittman
19,117bf732-d2a0-4094-b84b-5bb028010eb0,Patrick Mahomes
20,74bdf837-4480-49f7-b623-8420b98cd303,D.J. Moore
21,f9a916a9-1045-4fca-a4d4-fd9ed9b65b09,Hunter Renfrow
22,afce47e8-89bb-48d5-bc3a-5fc67a0ce50b,Davante Adams
23,63335fc3-4ab9-4ebe-8a5c-dee868f45036,Diontae Johnson
24,2cd9ecbb-3f8a-4dda-b918-10163b9bf749,Mark Andrews
25,0424f7b7-948a-4e64-a462-1915a53c51e6,Alvin Kamara
26,62154a84-9ad4-41f8-b3f3-23801013ebc8,Justin Jefferson
27,8d9ff2b9-d63f-4645-84c8-e5e05413b93e,Nick Chubb
28,fffb17af-f368-4b09-8aa4-e119998f6e01,Aaron Rodgers
29,a1309c81-c3c7-41bd-a8fc-4482a1bed951,Antonio Gibson
30,6022e5bc-a85c-471a-b78b-a66066f24ce4,Ja'Marr Chase
31,72a1b950-f005-419c-b67f-08d7f7f5df27,Joe Mixon
32,4a165d4b-b5f1-4d10-863f-4df84cd90fd2,James Conner
33,6a60f97f-e16f-44dd-bcc1-da885f8ae2b0,Marquise Brown
34,aa6f212c-a39b-441d-b9ed-4c4f76a9e718,Tee Higgins
35,f76e9085-98bd-4a81-ab2c-aaf7310d9a6d,Tyreek Hill
36,6d236cf4-3026-4dad-aa5e-e2ed3a3dcad2,Tyler Lockett
37,5c9f516c-4bf7-40b2-b9e1-50675a5b8988,Jaylen Waddle
